datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-04-01 00:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-01 04:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-01 08:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-01 12:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-01 16:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-01 20:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-02 00:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-02 04:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-02 08:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-02 12:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-04-02 15:07:00,long,sell - take_profit,82169.3,86331.0,7028.81,5.01,200.26
2025-04-02 16:00:00,long,buy,86699.3,0.0,7025.3,-0.05,200.21
2025-04-02 20:00:00,short,sell - direction change,86699.3,86853.9,7034.31,0.13,200.34
2025-04-02 20:00:00,short,buy,86853.9,0.0,7030.8,-0.05,200.29
2025-04-02 23:00:00,short,sell - take_profit,86853.9,82502.0,7379.57,4.96,205.25
2025-04-03 00:00:00,long,buy,82468.1,0.0,7375.88,-0.05,205.2
2025-04-03 04:00:00,long,same direction,82468.1,0.0,7375.88,0.0,205.2
2025-04-03 08:00:00,short,sell - direction change,82468.1,83422.0,7457.51,1.11,206.31
2025-04-03 08:00:00,short,buy,83422.0,0.0,7453.78,-0.05,206.26
2025-04-03 12:00:00,short,same direction,83422.0,0.0,7453.78,0.0,206.26
2025-04-03 16:00:00,short,same direction,83422.0,0.0,7453.78,0.0,206.26
2025-04-03 20:00:00,short,same direction,83422.0,0.0,7453.78,0.0,206.26
2025-04-04 00:00:00,short,same direction,83422.0,0.0,7453.78,0.0,206.26
2025-04-04 04:00:00,long,sell - direction change,83422.0,82786.5,7506.83,0.71,206.97
2025-04-04 04:00:00,long,buy,82786.5,0.0,7503.08,-0.05,206.92
2025-04-04 08:00:00,short,sell - direction change,82786.5,83973.7,7606.93,1.38,208.3
2025-04-04 08:00:00,short,buy,83973.7,0.0,7603.12,-0.05,208.25
2025-04-04 12:00:00,short,same direction,83973.7,0.0,7603.12,0.0,208.25
2025-04-04 16:00:00,long,sell - direction change,83973.7,82813.1,7704.4,1.33,209.58
2025-04-04 16:00:00,long,buy,82813.1,0.0,7700.55,-0.05,209.53
2025-04-04 20:00:00,long,same direction,82813.1,0.0,7700.55,0.0,209.53
2025-04-05 00:00:00,long,same direction,82813.1,0.0,7700.55,0.0,209.53
2025-04-05 04:00:00,long,same direction,82813.1,0.0,7700.55,0.0,209.53
2025-04-05 08:00:00,long,same direction,82813.1,0.0,7700.55,0.0,209.53
2025-04-05 12:00:00,short,sell - direction change,82813.1,83428.0,7753.88,0.69,210.23
2025-04-05 12:00:00,short,buy,83428.0,0.0,7750.0,-0.05,210.18
2025-04-05 16:00:00,short,same direction,83428.0,0.0,7750.0,0.0,210.18
2025-04-05 20:00:00,long,sell - direction change,83428.0,82827.7,7801.89,0.67,210.85
2025-04-05 20:00:00,long,buy,82827.7,0.0,7797.99,-0.05,210.8
2025-04-06 00:00:00,long,same direction,82827.7,0.0,7797.99,0.0,210.8
2025-04-06 04:00:00,short,sell - direction change,82827.7,83313.8,7839.86,0.54,211.33
